swissuniversities_name,ID,scopus_query,dim_query,wos_query,db_found;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ecole polytechnique fédérale de Lausanne EPFL,EPFL,""AF-ID(""""&Eacute";cole Polytechnique F&eacute;d&eacute;"rale de Lausanne"""" 60028186) OR AF-ID(""""Center for Biomedical Imaging"""" 60210159) OR AF-ID(""""Ceramics Laboratory"""" 60070536) OR AF-ID(""""Facult&eacute";" des Sciences de Base"""" 60204330) OR AF-ID(""""Section de Math&eacute";"matiques"""" 60070531) OR AF-ID(""""Institut de Chimie Mol&eacute";culaire et Biologique Ecole Polytechnique F&eacute;d&eacute;"rale de Lausanne"""" 60070534) OR AF-ID(""""Institut des Sciences et Ing&eacute";"nierie Chimiques"""" 60070538) OR AF-ID(""""Institut Romand de Recherche Num&eacute";rique en Physique des Mat&eacute;"riaux"""" 60014951) OR AF-ID(""""Laboratoire d'Electrochimie Physique et Analytique - EPFL"""" 60070529) OR AF-ID(""""Laboratory for Processing of Advanced Composites"""" 60070532) OR AF-ID(""""Laboratory of Mechanical Metallurgy"""" 60070535) OR AF-ID(""""Max Planck-EPFL Center for Molecular Nanoscience and Technology"""" 60122563) OR AF-ID(""""Swiss Data Science Center"""" 60210160) OR AF-ID(""""UNIL-EPFL dhCenter"""" 60204331)"",https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.509972.0&or_facet_research_org=grid.512126.3&or_facet_research_org=grid.483376.d&or_facet_research_org=grid.468117.d&or_facet_research_org=grid.482253.a&or_facet_research_org=grid.507541.2&or_facet_research_org=grid.5333.6,OG=(Ecole Polytechnique Federale de Lausanne),""dim,scopus,wos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eidgenössische Technische Hochschule Zürich ETH,ETHZ,""AF-ID(""""ETH Z&uuml";"rich"""" 60025858) OR AF-ID(""""Botnar Research Centre for Child Health"""" 60194073) OR AF-ID(""""Center for Radiopharmaceutical Sciences"""" 60251904) OR AF-ID(""""Centro Svizzero di Calcolo Scientifico"""" 60032721) OR AF-ID(""""Citizen Science Center Zurich"""" 60251045) OR AF-ID(""""Collegium Helveticum"""" 60099404) OR AF-ID(""""Competence Center for Systems Physiology and Metabolic Diseases"""" 60103077) OR AF-ID(""""ETH Zurich Institute of Reactor Technology"""" 60074272) OR AF-ID(""""Functional Genomics Center Zurich"""" 60245703) OR AF-ID(""""Geologisches Institut"""" 60115722) OR AF-ID(""""Inspire AG"""" 60074317) OR AF-ID(""""Institut f&uuml";r Atmosph&auml;"re und Klima"""" 60099375) OR AF-ID(""""Institut f&uuml";"r Mechanische Systeme"""" 60105443) OR AF-ID(""""Institute for Construction and Design Swiss Federal Institute of Technology Zurich"""" 60105442) OR AF-ID(""""Institute of Biochemistry"""" 60027920) OR AF-ID(""""Institute of Neuroinformatics"""" 60070530) OR AF-ID(""""Konjunkturforschungsstelle"""" 60103083) OR AF-ID(""""Laboratorium f&uuml";"r Anorganische Chemie"""" 60115723) OR AF-ID(""""Max Planck ETH Center for Learning Systems"""" 60122565) OR AF-ID(""""Neuroscience Center Zurich"""" 60244777) OR AF-ID(""""Singapore-​ETH Centre"""" 60115718) OR AF-ID(""""Swiss Data Science Center"""" 60210160) OR AF-ID(""""Zentrum f&uuml";"r Organisations- und Arbeitswissenschaften"""" 60239646)"",https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.482286.2&or_facet_research_org=grid.512126.3&or_facet_research_org=grid.514054.1&or_facet_research_org=grid.513285.8&or_facet_research_org=grid.5801.c,OG=(ETH Zurich),""dim,scopus,wos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Universität Basel,UNIBAS,""AF-ID(""""Universitat Basel"""" 60023588) OR AF-ID(""""Anatomie der Universit&auml";"t Basel"""" 60073359) OR AF-ID(""""Biozentrum Universit&auml";"t Basel"""" 60015184) OR AF-ID(""""Botanischer Garten"""" 60110500) OR AF-ID(""""Botnar Research Centre for Child Health"""" 60194073) OR AF-ID(""""Geologisch-Pal&auml";"ontologisches Institut Universitat Basel"""" 60069918) OR AF-ID(""""Medizinischen Fakult&auml";"t"""" 60027046) OR AF-ID(""""Universit&auml";"re Psychiatrische Kliniken Basel"""" 60015935) OR AF-ID(""""Universit&auml";"t Basel Zoologisches Institut"""" 60044069) OR AF-ID(""""Universit&auml";"tsspital Basel"""" 60028287) OR AF-ID(""""Allgemeinchirurgische Klinik Universit&auml";"tsspital Basel"""" 60005607) OR AF-ID(""""Augenklinik Universit&auml";"tsspital Basel"""" 60000655) OR AF-ID(""""Basel Institut f&uuml";"r klinische Epidemiologie und Biostatistik"""" 60016101) OR AF-ID(""""Geriatrische Universitatsklinik"""" 60053817) OR AF-ID(""""Hals Nasen Ohren Universitatsklinik"""" 60014202) OR AF-ID(""""Klinik f&uuml";r Orthop&auml;"die und Traumatologie"""" 60007085) OR AF-ID(""""Medizinische Poliklinik Basel"""" 60019425) OR AF-ID(""""Neurologische Klinik und Poliklinik"""" 60011950) OR AF-ID(""""Rheumatologische Universit&auml";"tsklinik und Poliklinik"""" 60010446) OR AF-ID(""""Universit&auml";ts Frauenklinik Universit&auml;"tsspital Basel"""" 60018840) OR AF-ID(""""Universit&auml";"ts-Kinderspital Beider Basel"""" 60006655) OR AF-ID(""""Universit&auml";"tsspital Basel -Dermatologie"""" 60012335) OR AF-ID(""""Universit&auml";"tsspital Basel Institute of Pathology"""" 60025568) OR AF-ID(""""Urologische Klinik Universit&auml";"tsspital Basel"""" 60102611) OR AF-ID(""""University of Basel Institute for Medical Microbiology"""" 60074270) OR AF-ID(""""Wirtschaftswissenschaftliche Fakult&auml";"t"""" 60256694) OR AF-ID(""""Graduate School of Business and Economics"""" 60256693)"",https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.513285.8&or_facet_research_org=grid.509969.a&or_facet_research_org=grid.410567.1&or_facet_research_org=grid.416786.a&or_facet_research_org=grid.482245.d&or_facet_research_org=grid.412556.1&or_facet_research_org=grid.412347.7&or_facet_research_org=grid.6612.3,OG=(University of Basel),""dim,scopus,wos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Universität Bern UniBE,UNIBE,""AF-ID(""""University of Bern"""" 60020486) OR AF-ID(""""Faculty of Business Economics ​and Social Sciences"""" 60204362) OR AF-ID(""""Institute of Anatomy"""" 60099369) OR AF-ID(""""National Centre of Competence in Research Climate"""" 60103069) OR AF-ID(""""University Hospital Bern"""" 60010987) OR AF-ID(""""Klinik und Poliklinik f&uuml";"r Urologie"""" 60002747) OR AF-ID(""""Swiss Cardiovascular Center University Hospital Bern"""" 60069922) OR AF-ID(""""Tiefenau Hospital"""" 60017163) OR AF-ID(""""University Children's Hospital Bern"""" 60000908) OR AF-ID(""""University Clinic for Dermatology Inselspital, Bern"""" 60028472) OR AF-ID(""""University Clinic for Neurology"""" 60025694) OR AF-ID(""""University Women's Clinic"""" 60008836) OR AF-ID(""""University of Bern Faculty of Medicine"""" 60026476) OR AF-ID(""""Clinic for Dental Preservation Preventive and Pediatric Dentistry"""" 60013471) OR AF-ID(""""Institute of Social and Preventive Medicine"""" 60105053) OR AF-ID(""""Theodor Kocher Institute"""" 60069907) OR AF-ID(""""University of Bern Institute of Pathology"""" 60059332) OR AF-ID(""""University Psychiatric Services Bern"""" 60012024) OR AF-ID(""""University of Bern Institute of Applied Physics"""" 60013996) OR AF-ID(""""University of Bern Zoological Institute"""" 60070537) OR AF-ID(""""Vetsuisse-Fakult&auml";"t"""" 60069923) OR AF-ID(""""University of Bern Institute of Animal Pathology"""" 60038716) OR AF-ID(""""University of Bern Institute of Virology and Immunology"""" 60019934) OR AF-ID(""""World Trade Institute"""" 60074276)"",https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.411656.1&or_facet_research_org=grid.483699.9&or_facet_research_org=grid.5734.5,OG=(University of Fribourg),""dim,scopus,wos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Université de Fribourg Unifr,UNIFR,""AF-ID(""""University of Fribourg"""" 60024631) OR AF-ID(""""Adolphe Merkle Institute"""" 60106421) OR AF-ID(""""Faculty of Management Economics and Social Sciences"""" 60203639) OR AF-ID(""""Faculty of Science and Medicine"""" 60203638) OR AF-ID(""""Institut de Physiologie University of Fribourg"""" 60069237)"",https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.478319.0&or_facet_research_org=grid.413366.5&or_facet_research_org=grid.8534.a,OG=(University of Fribourg),""dim,scopus,wos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Université de Genève UNIGE,UNIGE,""AF-ID(""""Universit&eacute"; de Gen&egrave;"ve"""" 60004718) OR AF-ID(""""Acad&eacute";mie de Droit International Humanitaire et de Droits de Humanis de Gen&egrave;"ve"""" 60204108) OR AF-ID(""""Center for Biomedical Imaging"""" 60210159) OR AF-ID(""""Centre D'&eacute";tude de Technique et D'&eacute;valuation L&eacute;"gislatives"""" 60004731) OR AF-ID(""""Centre D'&eacute";tudes Humanitaires Gen&egrave;"ve"""" 60204110) OR AF-ID(""""Faculty of Science"""" 60207122) OR AF-ID(""""Geneva Center for International Dispute Settlement"""" 60204109) OR AF-ID(""""Geneva School of Economics and Management"""" 60210162) OR AF-ID(""""Institut L&eacute";manique de Th&eacute;"ologie Pratique"""" 60210158) OR AF-ID(""""Institut Romand de Syst&eacute";matique et d&rsquo;&Eacute;"thique"""" 60210161) OR AF-ID(""""L'Institut de Sant&eacute"; Globale Gen&egrave;"ve"""" 60015322) OR AF-ID(""""Laboratoire Pharmapeptide Centre Interuniversitaire de Recherche et d'Enseignement"""" 60068956) OR AF-ID(""""Registre Genevois des Tumeurs"""" 60030065) OR AF-ID(""""The Institute for Applied Research in Economics and Management"""" 60210163) OR AF-ID(""""Universit&eacute"; de Gen&egrave;ve Facult&eacute; de M&eacute;"decine"""" 60026405) OR AF-ID(""""H&ocirc";pitaux Universitaires de Gen&egrave;"ve"""" 60009963) OR AF-ID(""""Cardiology Center Geneve"""" 60013803) OR AF-ID(""""Center for Biomedical Imaging"""" 60210159) OR AF-ID(""""Hopital des Enfants H&ocirc";pitaux universitaires de Gen&egrave;"ve"""" 60012099) OR AF-ID(""""H&ocirc";pital de G&eacute;"riatrie"""" 60044095) OR AF-ID(""""Universitaires de M&eacute";decine L&eacute;"gale"""" 60017215)"",https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.509972.0&or_facet_research_org=grid.511014.0&or_facet_research_org=grid.150338.c&or_facet_research_org=grid.482253.a&or_facet_research_org=grid.8591.5,OG=(University of Geneva),""dim,scopus,wos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Université de Lausanne UNIL,UNIL,""AF-ID(""""Universit&eacute";" de Lausanne UNIL"""" 60000239) OR AF-ID(""""Center for Biomedical Imaging"""" 60210159) OR AF-ID(""""Centre Hospitalier Universitaire Vaudois"""" 60023561) OR AF-ID(""""CardioMet"""" 60074521) OR AF-ID(""""Center for Biomedical Imaging"""" 60210159) OR AF-ID(""""D&eacute";"partement de psychiatrie"""" 60013793) OR AF-ID(""""H&ocirc";"pital de Cery"""" 60049894) OR AF-ID(""""H&ocirc";"pital de l'enfance de Lausanne"""" 60239643) OR AF-ID(""""Institut Universitaire de Pathologie Lausanne"""" 60015866) OR AF-ID(""""L'H&ocirc";"pital de Prangins"""" 60244307) OR AF-ID(""""Service de neurologie"""" 60022491) OR AF-ID(""""Centre Universitaire de M&eacute";decine G&eacute;n&eacute;rale et Sant&eacute;" Publique Lausanne"""" 60165240) OR AF-ID(""""Facult&eacute"; de biologie et de m&eacute;"decine"""" 60016036) OR AF-ID(""""CardioMet"""" 60074521) OR AF-ID(""""D&eacute";"partement de pharmacologie et de toxicologie"""" 60007375) OR AF-ID(""""Ecole de m&eacute";"decine"""" 60242130) OR AF-ID(""""Universitaires de M&eacute";decine L&eacute;"gale"""" 60017215) OR AF-ID(""""Facult&eacute";" des HEC"""" 60242129) OR AF-ID(""""Institut de G&eacute";n&eacute;tique et de Biologie Microbiennes Universit&eacute;" de Lausanne"""" 60069915) OR AF-ID(""""Institut L&eacute";manique de Th&eacute;"ologie Pratique"""" 60210158) OR AF-ID(""""Institut Romand de Syst&eacute";matique et d&rsquo;&Eacute;"thique"""" 60210161) OR AF-ID(""""Institut Universitaire de M&eacute";decine Sociale et Pr&eacute;"ventive Lausanne"""" 60022307) OR AF-ID(""""UNIL-EPFL dhCenter"""" 60204331)"",https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.482968.9&or_facet_research_org=grid.483376.d&or_facet_research_org=grid.511014.0&or_facet_research_org=grid.482742.f&or_facet_research_org=grid.8515.9&or_facet_research_org=grid.507547.4&or_facet_research_org=grid.9851.5,OG=(University of Lausanne),""dim,scopus,wos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Universität Luzern Unilu,UNILU,""AF-ID(""""Universit&auml";"t Luzern"""" 60017347)"",https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.449852.6,OG=(University of Lucerne),""dim,scopus,wos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Université de Neuchâtel UniNE,UNINE,""AF-ID(""""Universit&eacute"; de Neuch&acirc;"tel"""" 60002128) OR AF-ID(""""Facult&eacute";" des Sciences"""" 60204067) OR AF-ID(""""Institut de Physique Universit&eacute"; de Neuch&acirc;"tel"""" 60002081) OR AF-ID(""""Universite de Neuchatel Institut de Chimie"""" 60069920) OR AF-ID(""""Universit&eacute"; de Neuch&acirc;tel Le Centre d'Hydrog&eacute;ologie et de G&eacute;"othermie"""" 60010614) OR AF-ID(""""Universite de Neuchatel Institut de Zoologie"""" 60005175) OR AF-ID(""""Universit&eacute"; de Neuch&acirc;tel Centre International d&rsquo;"Etude du Sport"""" 60111135) OR AF-ID(""""University of Neuchatel Institute of Microtechnology"""" 60013663)"",https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.483090.6&or_facet_research_org=grid.10711.36,OG=(University of Neuchatel),""dim,scopus,wos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Universität St. Gallen HSG,HSG,""AF-ID ( """"University of St. Gallen""""   60027786 )  OR  AF-ID ( """"School of Management""""   60199659 )  OR  AF-ID ( """"School of Medicine""""   60199660 ) "",https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.15775.31,OG=(University of St Gallen),""dim,scopus,wos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
