swissuniversities_name,ID,dimensions_gui,scopus_query,wos_query,openalex_api,openaire_gui
Scuola universitaria professionale della Svizzera italiana SUPSI,SUPSI,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.469945.3&or_facet_research_org=grid.454265.4&or_facet_research_org=grid.16058.3a,"AF-ID ( ""Scuola Universitaria Professionale della Svizzera Italiana""   60101870 )  OR  AF-ID ( ""IDSIA Dalle Molle Institute for Artificial Intelligence""   60014996 ) ",,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i15196421|i4210116528|i2614128279,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::9530fcdb9351fb8cc163e51c47850c00
https://explore.openaire.eu/search/organization?organizationId=openorgs____::dfa43720e035d72f6c34b2499387058d
https://explore.openaire.eu/search/organization?organizationId=openorgs____::6d49d8059c0ef5eefc2343059826e216"
SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA,SUPSIDFA,,,,,https://explore.openaire.eu/search/organization?organizationId=openorgs____::bbf28dbc8406d6baf3bda78834504d9f
Schweizerisches universitäres Institut für traditionelle chinesische Medizin SWISS TCM UNI,TCMUNI,,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4399598368,https://explore.openaire.eu/search/organization?organizationId=openorgs____::51e8a672e8dd17dbfc6eff42b2ebed5a
Theologische Hochschule Chur,THCH,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.483675.b,,,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210136385,https://explore.openaire.eu/search/organization?organizationId=openorgs____::774ddab4791e1c46f463e50a2a89fefc
Universität Basel,UNIBAS,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.513285.8&or_facet_research_org=grid.509969.a&or_facet_research_org=grid.410567.1&or_facet_research_org=grid.416786.a&or_facet_research_org=grid.482245.d&or_facet_research_org=grid.412556.1&or_facet_research_org=grid.412347.7&or_facet_research_org=grid.6612.3,"AF-ID(""Universitat Basel"" 60023588) OR AF-ID(""Anatomie der Universit&auml;t Basel"" 60073359) OR AF-ID(""Biozentrum Universit&auml;t Basel"" 60015184) OR AF-ID(""Botanischer Garten"" 60110500) OR AF-ID(""Botnar Research Centre for Child Health"" 60194073) OR AF-ID(""Geologisch-Pal&auml;ontologisches Institut Universitat Basel"" 60069918) OR AF-ID(""Medizinischen Fakult&auml;t"" 60027046) OR AF-ID(""Universit&auml;re Psychiatrische Kliniken Basel"" 60015935) OR AF-ID(""Universit&auml;t Basel Zoologisches Institut"" 60044069) OR AF-ID(""Universit&auml;tsspital Basel"" 60028287) OR AF-ID(""Allgemeinchirurgische Klinik Universit&auml;tsspital Basel"" 60005607) OR AF-ID(""Augenklinik Universit&auml;tsspital Basel"" 60000655) OR AF-ID(""Basel Institut f&uuml;r klinische Epidemiologie und Biostatistik"" 60016101) OR AF-ID(""Geriatrische Universitatsklinik"" 60053817) OR AF-ID(""Hals Nasen Ohren Universitatsklinik"" 60014202) OR AF-ID(""Klinik f&uuml;r Orthop&auml;die und Traumatologie"" 60007085) OR AF-ID(""Medizinische Poliklinik Basel"" 60019425) OR AF-ID(""Neurologische Klinik und Poliklinik"" 60011950) OR AF-ID(""Rheumatologische Universit&auml;tsklinik und Poliklinik"" 60010446) OR AF-ID(""Universit&auml;ts Frauenklinik Universit&auml;tsspital Basel"" 60018840) OR AF-ID(""Universit&auml;ts-Kinderspital Beider Basel"" 60006655) OR AF-ID(""Universit&auml;tsspital Basel -Dermatologie"" 60012335) OR AF-ID(""Universit&auml;tsspital Basel Institute of Pathology"" 60025568) OR AF-ID(""Urologische Klinik Universit&auml;tsspital Basel"" 60102611) OR AF-ID(""University of Basel Institute for Medical Microbiology"" 60074270) OR AF-ID(""Wirtschaftswissenschaftliche Fakult&auml;t"" 60256694) OR AF-ID(""Graduate School of Business and Economics"" 60256693)",OG=(University of Basel),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i2802542264|i4210126115|i4210166749|i158937107|i860889466|i1850255,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::08f53f338acf0521ace2c500c56caba3
https://explore.openaire.eu/search/organization?organizationId=openorgs____::23f30cf6dced320a78d0d94e02a20232
https://explore.openaire.eu/search/organization?organizationId=openorgs____::b7e96c4e49c8d9ff1a08a33dde1a010f
https://explore.openaire.eu/search/organization?organizationId=openorgs____::9902fe775a3c2e8722c2aac447cfff45
https://explore.openaire.eu/search/organization?organizationId=openorgs____::a29a6ea4eacc4621a992e38a96fcc91e
https://explore.openaire.eu/search/organization?organizationId=openorgs____::a5124687d06ee9348a73a7dcfba96ec7"
Universität Bern UniBE,UNIBE,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.411656.1&or_facet_research_org=grid.483699.9&or_facet_research_org=grid.5734.5,"AF-ID(""University of Bern"" 60020486) OR AF-ID(""Faculty of Business Economics ​and Social Sciences"" 60204362) OR AF-ID(""Institute of Anatomy"" 60099369) OR AF-ID(""National Centre of Competence in Research Climate"" 60103069) OR AF-ID(""University Hospital Bern"" 60010987) OR AF-ID(""Klinik und Poliklinik f&uuml;r Urologie"" 60002747) OR AF-ID(""Swiss Cardiovascular Center University Hospital Bern"" 60069922) OR AF-ID(""Tiefenau Hospital"" 60017163) OR AF-ID(""University Children's Hospital Bern"" 60000908) OR AF-ID(""University Clinic for Dermatology Inselspital, Bern"" 60028472) OR AF-ID(""University Clinic for Neurology"" 60025694) OR AF-ID(""University Women's Clinic"" 60008836) OR AF-ID(""University of Bern Faculty of Medicine"" 60026476) OR AF-ID(""Clinic for Dental Preservation Preventive and Pediatric Dentistry"" 60013471) OR AF-ID(""Institute of Social and Preventive Medicine"" 60105053) OR AF-ID(""Theodor Kocher Institute"" 60069907) OR AF-ID(""University of Bern Institute of Pathology"" 60059332) OR AF-ID(""University Psychiatric Services Bern"" 60012024) OR AF-ID(""University of Bern Institute of Applied Physics"" 60013996) OR AF-ID(""University of Bern Zoological Institute"" 60070537) OR AF-ID(""Vetsuisse-Fakult&auml;t"" 60069923) OR AF-ID(""University of Bern Institute of Animal Pathology"" 60038716) OR AF-ID(""University of Bern Institute of Virology and Immunology"" 60019934) OR AF-ID(""World Trade Institute"" 60074276)",OG=(University of Fribourg),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i2801112126|i4210087665|i118564535,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::15bddec31e028fa45e1e32ed7b37ce3c
https://explore.openaire.eu/search/organization?organizationId=openorgs____::9753282efd6b69e9bbe6b8545136d426
https://explore.openaire.eu/search/organization?organizationId=openorgs____::c44c357053f9488a7e9351919e3256d8"
Université de Fribourg Unifr,UNIFR,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.478319.0&or_facet_research_org=grid.413366.5&or_facet_research_org=grid.8534.a,"AF-ID(""University of Fribourg"" 60024631) OR AF-ID(""Adolphe Merkle Institute"" 60106421) OR AF-ID(""Faculty of Management Economics and Social Sciences"" 60203639) OR AF-ID(""Faculty of Science and Medicine"" 60203638) OR AF-ID(""Institut de Physiologie University of Fribourg"" 60069237)",OG=(University of Fribourg),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210093738|i4210110454|i154338468,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::4013a86717b8497fa13896e1a74f3ac6
https://explore.openaire.eu/search/organization?organizationId=openorgs____::2e2e4dff28e9503be0354873e1a56dc7
https://explore.openaire.eu/search/organization?organizationId=openorgs____::a970905f03ef017f062a62f76a44eafe"
Université de Genève UNIGE,UNIGE,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.509972.0&or_facet_research_org=grid.511014.0&or_facet_research_org=grid.150338.c&or_facet_research_org=grid.482253.a&or_facet_research_org=grid.8591.5,"AF-ID(""Universit&eacute; de Gen&egrave;ve"" 60004718) OR AF-ID(""Acad&eacute;mie de Droit International Humanitaire et de Droits de Humanis de Gen&egrave;ve"" 60204108) OR AF-ID(""Center for Biomedical Imaging"" 60210159) OR AF-ID(""Centre D'&eacute;tude de Technique et D'&eacute;valuation L&eacute;gislatives"" 60004731) OR AF-ID(""Centre D'&eacute;tudes Humanitaires Gen&egrave;ve"" 60204110) OR AF-ID(""Faculty of Science"" 60207122) OR AF-ID(""Geneva Center for International Dispute Settlement"" 60204109) OR AF-ID(""Geneva School of Economics and Management"" 60210162) OR AF-ID(""Institut L&eacute;manique de Th&eacute;ologie Pratique"" 60210158) OR AF-ID(""Institut Romand de Syst&eacute;matique et d&rsquo;&Eacute;thique"" 60210161) OR AF-ID(""L'Institut de Sant&eacute; Globale Gen&egrave;ve"" 60015322) OR AF-ID(""Laboratoire Pharmapeptide Centre Interuniversitaire de Recherche et d'Enseignement"" 60068956) OR AF-ID(""Registre Genevois des Tumeurs"" 60030065) OR AF-ID(""The Institute for Applied Research in Economics and Management"" 60210163) OR AF-ID(""Universit&eacute; de Gen&egrave;ve Facult&eacute; de M&eacute;decine"" 60026405) OR AF-ID(""H&ocirc;pitaux Universitaires de Gen&egrave;ve"" 60009963) OR AF-ID(""Cardiology Center Geneve"" 60013803) OR AF-ID(""Center for Biomedical Imaging"" 60210159) OR AF-ID(""Hopital des Enfants H&ocirc;pitaux universitaires de Gen&egrave;ve"" 60012099) OR AF-ID(""H&ocirc;pital de G&eacute;riatrie"" 60044095) OR AF-ID(""Universitaires de M&eacute;decine L&eacute;gale"" 60017215)",OG=(University of Geneva),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210106256|i7495430|i4210129591|i4210149244|i114457229,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::f6b9b6a088b1ba0c418720aedc2f5dc4
https://explore.openaire.eu/search/organization?organizationId=openorgs____::e7be3c6c52ace65b98ccddb50da31797
https://explore.openaire.eu/search/organization?organizationId=openorgs____::322ff2a6524820640bc5d1311871585e
https://explore.openaire.eu/search/organization?organizationId=openorgs____::664fcd1baf49e13486b9515738e6165e"
Université de Lausanne UNIL,UNIL,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.482968.9&or_facet_research_org=grid.483376.d&or_facet_research_org=grid.511014.0&or_facet_research_org=grid.482742.f&or_facet_research_org=grid.8515.9&or_facet_research_org=grid.507547.4&or_facet_research_org=grid.9851.5,"AF-ID(""Universit&eacute; de Lausanne UNIL"" 60000239) OR AF-ID(""Center for Biomedical Imaging"" 60210159) OR AF-ID(""Centre Hospitalier Universitaire Vaudois"" 60023561) OR AF-ID(""CardioMet"" 60074521) OR AF-ID(""Center for Biomedical Imaging"" 60210159) OR AF-ID(""D&eacute;partement de psychiatrie"" 60013793) OR AF-ID(""H&ocirc;pital de Cery"" 60049894) OR AF-ID(""H&ocirc;pital de l'enfance de Lausanne"" 60239643) OR AF-ID(""Institut Universitaire de Pathologie Lausanne"" 60015866) OR AF-ID(""L'H&ocirc;pital de Prangins"" 60244307) OR AF-ID(""Service de neurologie"" 60022491) OR AF-ID(""Centre Universitaire de M&eacute;decine G&eacute;n&eacute;rale et Sant&eacute; Publique Lausanne"" 60165240) OR AF-ID(""Facult&eacute; de biologie et de m&eacute;decine"" 60016036) OR AF-ID(""CardioMet"" 60074521) OR AF-ID(""D&eacute;partement de pharmacologie et de toxicologie"" 60007375) OR AF-ID(""Ecole de m&eacute;decine"" 60242130) OR AF-ID(""Universitaires de M&eacute;decine L&eacute;gale"" 60017215) OR AF-ID(""Facult&eacute; des HEC"" 60242129) OR AF-ID(""Institut de G&eacute;n&eacute;tique et de Biologie Microbiennes Universit&eacute; de Lausanne"" 60069915) OR AF-ID(""Institut L&eacute;manique de Th&eacute;ologie Pratique"" 60210158) OR AF-ID(""Institut Romand de Syst&eacute;matique et d&rsquo;&Eacute;thique"" 60210161) OR AF-ID(""Institut Universitaire de M&eacute;decine Sociale et Pr&eacute;ventive Lausanne"" 60022307) OR AF-ID(""UNIL-EPFL dhCenter"" 60204331)",OG=(University of Lausanne),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210100035|i4210135124|i4210100659|i4210101498|i4210149244|i2802229882|i97565354,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::322ff2a6524820640bc5d1311871585e
https://explore.openaire.eu/search/organization?organizationId=openorgs____::60dd828d56524f347a181614ff4ba6f6
https://explore.openaire.eu/search/organization?organizationId=openorgs____::80315ad0b84674614e049b7dcb034f13
https://explore.openaire.eu/search/organization?organizationId=openorgs____::831af63af7347a04f47ba90446edf530
https://explore.openaire.eu/search/organization?organizationId=openorgs____::6dacb3b5d6bc9287ec407c403929f488
https://explore.openaire.eu/search/organization?organizationId=openorgs____::664fcd1baf49e13486b9515738e6165e"
Universität Luzern Unilu,UNILU,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.449852.6,"AF-ID(""Universit&auml;t Luzern"" 60017347)",OG=(University of Lucerne),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i161941770,https://explore.openaire.eu/search/organization?organizationId=openorgs____::36df4ef897800ca581e8ee70a80b4569
Université de Neuchâtel UniNE,UNINE,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.483090.6&or_facet_research_org=grid.10711.36,"AF-ID(""Universit&eacute; de Neuch&acirc;tel"" 60002128) OR AF-ID(""Facult&eacute; des Sciences"" 60204067) OR AF-ID(""Institut de Physique Universit&eacute; de Neuch&acirc;tel"" 60002081) OR AF-ID(""Universite de Neuchatel Institut de Chimie"" 60069920) OR AF-ID(""Universit&eacute; de Neuch&acirc;tel Le Centre d'Hydrog&eacute;ologie et de G&eacute;othermie"" 60010614) OR AF-ID(""Universite de Neuchatel Institut de Zoologie"" 60005175) OR AF-ID(""Universit&eacute; de Neuch&acirc;tel Centre International d&rsquo;Etude du Sport"" 60111135) OR AF-ID(""University of Neuchatel Institute of Microtechnology"" 60013663)",OG=(University of Neuchatel),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i57825437|i4210126212,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::f4addb1b54e611d8ad15c059fa3c3344
https://explore.openaire.eu/search/organization?organizationId=openorgs____::40291bc630c7f6c06adad8957118cc44"
Università della Svizzera italiana USI,USI,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.469945.3&or_facet_research_org=grid.29078.34,"AF-ID ( ""Università della Svizzera italiana""   60006824 )  OR  AF-ID ( ""Faculty of Theology of Lugano""   60277608 )  OR  AF-ID ( ""IDSIA Dalle Molle Institute for Artificial Intelligence""   60014996 )  OR  AF-ID ( ""Institute of Oncology Research IOR""   60113891 )  OR  AF-ID ( ""Istituto di Ricerca in Biomedicina Bellinzona""   60004962 )  OR  AF-ID ( ""Istituto Ricerche Solari Locarno""   60074513 ) ",OG=(Universita della Svizzera Italiana),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i57201433|i2614128279,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::ef025332c8ad7e393d2a6932f765d0d3
https://explore.openaire.eu/search/organization?organizationId=openorgs____::6d49d8059c0ef5eefc2343059826e216"
Universität Zürich UZH,UZH,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.482286.2&or_facet_research_org=grid.484484.0&or_facet_research_org=grid.483845.6&or_facet_research_org=grid.412004.3&or_facet_research_org=grid.412341.1&or_facet_research_org=grid.7400.3,"AF-ID(""Universit&auml;t Z&uuml;rich"" 60012614) OR AF-ID(""Citizen Science Center Zurich"" 60251045) OR AF-ID(""Competence Center for Systems Physiology and Metabolic Diseases"" 60103077) OR AF-ID(""Functional Genomics Center Zurich"" 60245703) OR AF-ID(""Institut f&uuml;r Sozial- und Pr&auml;ventivmedizin"" 60105057) OR AF-ID(""Institute of Neuroinformatics"" 60070530) OR AF-ID(""International Max Planck Research School on the Life Course"" 60009933) OR AF-ID(""Kinderspital Z&uuml;rich"" 60002695) OR AF-ID(""Medizinische Klinik Z&uuml;rich"" 60021202) OR AF-ID(""Neuroscience Center Zurich"" 60244777) OR AF-ID(""Psychiatrische Universit&auml;tsklinik Z&uuml;rich"" 60005316) OR AF-ID(""Soziologisches Institut Universit&auml;t Z&uuml;rich"" 60070528) OR AF-ID(""Universit&auml;t Z&uuml;rich Medizinische Fakult&auml;t"" 60024325) OR AF-ID(""UniversitatsSpital Zurich"" 60019619) OR AF-ID(""Center for Radiopharmaceutical Sciences"" 60251904) OR AF-ID(""Klinik f&uuml;r Gef&auml;sschirurgie"" 60032323) OR AF-ID(""Klinik f&uuml;r Traumatologie"" 60014726) OR AF-ID(""Klinik f&uuml;r Urologie Zurich"" 60030091) OR AF-ID(""Medizinische Poliklinik Z&uuml;rich"" 60028489) OR AF-ID(""Rheumaklinik und Institut fur Physikalische Medizin"" 60026102) OR AF-ID(""UniversitatsSpital Zurich Augenklinik"" 60002551) OR AF-ID(""UniversitatsSpital Zurich Klinik f&uuml;r Konsiliarpsychiatrie und Psychosomatik"" 60003913) OR AF-ID(""Universit&auml;tsspital Z&uuml;rich Institut f&uuml;r Neuropathologie"" 60022699) OR AF-ID(""Universit&auml;tsspital Z&uuml;rich Dermatologische Klinik"" 60007456) OR AF-ID(""Universit&auml;tsSpital Z&uuml;rich Institut f&uuml;r An&auml;sthesiologie"" 60003829) OR AF-ID(""Universit&auml;tsspital Z&uuml;rich Institut f&uuml;r Diagnostische und Interventionelle Radiologie"" 60037683) OR AF-ID(""Universit&auml;tsspital Z&uuml;rich Institut f&uuml;r Experimentelle Immunologie"" 60016399) OR AF-ID(""Universit&auml;tsspital Z&uuml;rich Institut f&uuml;r Klinische Chemie"" 60045366) OR AF-ID(""Universit&auml;tsspital Z&uuml;rich Klinik f&uuml;r Geburtshilfe"" 60018659) OR AF-ID(""Universit&auml;tsspital Z&uuml;rich Klinik f&uuml;r Gyn&auml;kologie"" 60002703) OR AF-ID(""Universit&auml;tsspital Z&uuml;rich Klinik f&uuml;r Kardiologie"" 60046874) OR AF-ID(""Universit&auml;tsspital Z&uuml;rich Klinik f&uuml;r Neurologie"" 60019636) OR AF-ID(""University of Zurich Brain Research Institute"" 60005666) OR AF-ID(""Universit&auml;t Z&uuml;rich Pal&auml;ontologisches Institut und Museum"" 60074326) OR AF-ID(""Universit&auml;t Z&uuml;rich Physik-Institut"" 60024034) OR AF-ID(""University of Zurich Brain Research Institute"" 60005666) OR AF-ID(""Vetsuisse-Fakult&auml;t"" 60069923) OR AF-ID(""University of Bern Institute of Animal Pathology"" 60038716) OR AF-ID(""University of Bern Institute of Virology and Immunology"" 60019934) OR AF-ID(""Wirtschaftswissenschaftliche Fakult&auml;t"" 60250854)",OG=(University of Zurich),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i4210100468|i4210128593|i4210090941|i4210164351|i4210115727|i202697423,"https://explore.openaire.eu/search/organization?organizationId=openorgs____::6499f648fb0439680bcd0146b50357ff
https://explore.openaire.eu/search/organization?organizationId=openorgs____::c3b6ad2314488a67869a41ac1ec56e46
https://explore.openaire.eu/search/organization?organizationId=openorgs____::16dcb9dbf78ba2781312ce6bd3f06bc8
https://explore.openaire.eu/search/organization?organizationId=openorgs____::295a2c0f7358155af3537b31f3729b40
https://explore.openaire.eu/search/organization?organizationId=openorgs____::eab2a10f78c5b23eb6fb4e50a10b06e9
https://explore.openaire.eu/search/organization?organizationId=openorgs____::3514a58d10bfa5be292024c2b7a6ee6c"
Zürcher Hochschule für angewandte Wissenschaften ZHAW,ZHAW,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.19739.35,"AF-ID ( ""ZHAW Zurich University of Applied Sciences""   60015769 ) ",OG=(Zurich University of Applied Sciences),https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i858936495,https://explore.openaire.eu/search/organization?organizationId=openorgs____::252c26de35253a4361413eff57fbaf6f
Zürcher Hochschule der Künste ZHdk,ZHDK,https://app.dimensions.ai/discover/publication?or_facet_research_org=grid.449912.3,"AF-ID ( ""Zurich University of the Arts""   60189445 )",,https://api.openalex.org/works?page=1&filter=authorships.institutions.lineage:i64152125,https://explore.openaire.eu/search/organization?organizationId=openorgs____::b0f7cfe6dc2f277909c957393696da8b
